MSSV,FullName,ClassCode,DateOfBirth,Hometown,Gender,AdmissionMethod,AdmissionScore,Email,PhoneNumber,Address,Major,Department,AcademicStatus,EnrollmentYear,GPA,AccumulatedCredits,Advisor
20250001,Ho Xuan Phuong,DTVT01-K68,13/03/2006,Quang Nam,Nam,Tuyen thang,24.4,20250001@sis.hust.edu.vn,0946381271,So 71 Pho Chua Boc - Quang Nam,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2024,3.97,63,Nguyen Van A
20250002,Ngo Thi Hanh,CNPM02-K67,28/11/2006,Ha Tinh,Nu,Hoc ba,28.9,20250002@sis.hust.edu.vn,0974535855,So 101 Pho Chua Boc - Ha Tinh,Ky thuat may tinh,Khoa Dien tu,Dang hoc,2024,2.66,126,Hoang Duc E
20250003,Hoang Duy Long,CNPM02-K67,25/10/2007,Quang Ninh,Nam,Hoc ba,25.7,20250003@sis.hust.edu.vn,0964022357,So 10 Pho Chua Boc - Quang Ninh,Cong nghe thong tin,Truong CNTT&TT,Bao luu,2025,2.27,9,Hoang Duc E
20250004,Do Minh Quan,CNPM02-K67,03/04/2006,Ha Tinh,Nu,Tuyen thang,27.2,20250004@sis.hust.edu.vn,0931201787,So 114 Pho Chua Boc - Ha Tinh,He thong thong tin,Truong CNTT&TT,Canh cao,2024,1.5,40,Nguyen Van A
20250005,Ly Anh Mai,CTTT02-K68,21/05/2007,Quang Ninh,Nam,Hoc ba,20.2,20250005@sis.hust.edu.vn,0985567091,So 128 Pho Chua Boc - Quang Ninh,Khoa hoc may tinh,Truong CNTT&TT,Canh cao,2025,1.49,43,Hoang Duc E
20250006,Tran Quang Giang,ATTT03-K68,05/05/2005,Bac Ninh,Nu,Hoc ba,22.8,20250006@sis.hust.edu.vn,0982383119,So 137 Pho Chua Boc - Bac Ninh,Khoa hoc may tinh,Truong CNTT&TT,Dang hoc,2023,2.1,103,Hoang Duc E
20250007,Ly Anh Vy,DTVT01-K68,24/05/2006,Bac Ninh,Nu,Hoc ba,23.9,20250007@sis.hust.edu.vn,0919343687,So 28 Pho Chua Boc - Bac Ninh,He thong thong tin,Truong CNTT&TT,Dang hoc,2024,3.27,54,Tran Thi B
20250008,Tran Minh Khoa,ATTT03-K68,12/06/2005,Quang Nam,Nam,Hoc ba,21.7,20250008@sis.hust.edu.vn,0964323754,So 15 Pho Chua Boc - Quang Nam,Dien tu vien thong,Khoa Vien thong,Bao luu,2023,1.16,5,Pham Minh D
20250009,Pham Quang Dung,ATTT03-K68,11/01/2005,Thai Nguyen,Nu,Hoc ba,24.3,20250009@sis.hust.edu.vn,0929804603,So 105 Pho Chua Boc - Thai Nguyen,Cong nghe thong tin,Truong CNTT&TT,Canh cao,2023,3.88,45,Le Van C
20250010,Vu Duy Binh,KHMT02-K68,22/10/2006,Thai Binh,Nam,Diem thi THPT,25.9,20250010@sis.hust.edu.vn,0934886548,So 139 Pho Chua Boc - Thai Binh,Dien tu vien thong,Khoa Vien thong,Dang hoc,2024,3.32,99,Pham Minh D
20250011,Ngo Duc Yen,CTTT02-K68,10/02/2006,Quang Ninh,Nu,Diem thi THPT,27.2,20250011@sis.hust.edu.vn,0969844028,So 78 Pho Chua Boc - Quang Ninh,Ky thuat may tinh,Khoa Dien tu,Dang hoc,2024,2.02,40,Nguyen Van A
20250012,Bui Duy Nam,ATTT03-K68,11/04/2006,Ha Noi,Nu,Hoc ba,21.9,20250012@sis.hust.edu.vn,0964238551,So 83 Pho Chua Boc - Ha Noi,Dien tu vien thong,Khoa Vien thong,Dang hoc,2024,2.64,13,Hoang Duc E
20250013,Pham Duy Hung,KHMT02-K68,05/11/2007,Thai Nguyen,Nu,Hoc ba,21.2,20250013@sis.hust.edu.vn,0911045078,So 59 Pho Chua Boc - Thai Nguyen,An toan thong tin,Truong CNTT&TT,Dang hoc,2025,2.85,88,Nguyen Van A
20250014,Tran Huu Phuong,KHMT01-K67,10/05/2005,Thai Nguyen,Nam,Danh gia nang luc,20.5,20250014@sis.hust.edu.vn,0959437771,So 132 Pho Chua Boc - Thai Nguyen,Dien tu vien thong,Khoa Vien thong,Dang hoc,2023,3.34,0,Nguyen Van A
